TIME,lat,lon,alt,vel-ns,vel-ew,vel-v,roll,pitch,hdg,p,q,r,ts,ps-pitot,ps-858,ps-hgppt2,ps-aero,ps-aimms,pd-pitot,pd-858,pd-hgppt2,pd-aero,pd-aimms,aoa-aimms,aoa-858,aoa-aero,aos-aimms,aos-858,aos-aero
2021-09-17 19:20:50,46.95048425824029,-71.65293035149186,3751.0158092108977,-77.43247900987971,-43.26401313742684,0.2197405795956064,-15.156025945329722,3.0638816564208784,211.4013511182767,-0.4118064595193888,0.6823358798301054,-1.4896780560297451,5.3814136192934825,659.5093107789143,-0.7006779613046277,648.3330918019215,657.1952788287548,656.2648214753785,32.837919815893,-139.8966123453258,44.0679897512489,35.911787498695745,36.47150868783574,-7.064472490834582,-68.55794399756813,8.624702606161728,-11.185798314234736,69.12663083499035,1.348234202053909
2021-09-17 19:20:51,46.949781720306056,-71.65348373379189,3750.8309694018967,-78.85489300517489,-41.00098798508277,0.1613801451388588,-15.840385992484608,3.106349558480198,209.8205621715145,-1.102170009178403,0.3210527055406315,-1.4994951020384228,5.3691449922891366,659.5415334390121,-0.6800242769487161,648.1697336483231,657.0525578032983,656.2692639279581,32.95137118109223,-139.89732260377178,44.27583039875712,36.1637313577986,36.481087998359214,-7.09595867164498,-68.55235462270224,8.777508257614048,-11.316966959133056,69.12187451887084,1.3987541288070244
2021-09-17 19:20:52,46.949066581806704,-71.65400655376195,3750.639489422031,-80.27215429891447,-38.60821239067785,0.2338393014140176,-16.86562608350488,2.963658203831068,208.2162735703073,-0.968713661113922,0.405756479514695,-1.6507628606725386,5.369321480384826,659.5930630387951,-0.7255678145437421,648.1297191628668,657.2150794690571,656.2279440870063,32.997777449242214,-139.90418724242352,44.39974339495637,36.112315925392174,36.67487528483114,-6.749163878116772,-68.56040831588736,8.618852266850542,-11.440201286433886,69.12740475190157,1.361147733149457
2021-09-17 19:20:53,46.94833847376812,-71.65449692270613,3750.3067009442434,-81.70112841795888,-36.06014007622181,0.4320248597133421,-17.754064877379445,2.8874249572602912,206.4633369351262,-0.5699523251495465,0.7042239917368335,-1.7904000471019357,5.378429451693364,659.6199273152012,-0.6726256779417725,648.1467399125846,657.2181428355027,656.190152738319,33.10628364234464,-139.8903270788526,44.45000558618764,36.21374061466575,36.77288514251924,-6.824263406179362,-68.55281764026324,8.51,-11.494378476056042,69.12330059748683,1.3990714177513135
2021-09-17 19:20:54,46.94759757583111,-71.65495245460566,3749.8546675208486,-83.1417675607492,-33.281318059613405,0.4364675926711392,-18.37930761278356,3.0434168262456613,204.4880702234441,-0.5064958222636108,0.8189368397525805,-1.8473194037693592,5.401248277278967,659.5651122189638,-0.7298377987936009,648.1259985351562,656.0774583627191,656.4158297226832,33.18252233628972,-139.90134952793076,44.35903618860012,36.22318948223296,36.67785670432569,-7.533916559630753,-68.55427501966955,8.93467259805783,-11.366323939634947,69.1222217031209,1.3831964411653013
2021-09-17 19:20:55,46.94684391467904,-71.6553701417553,3749.476525319053,-84.54017345005519,-30.299386929427985,0.3147450658738879,-18.856327071944307,3.0555448046177864,202.48965660552184,-0.2508000248312885,0.5834448779161724,-1.8782750655693727,5.407160870172731,659.5934533009779,-0.7008813076799637,648.3202836338012,657.1017302498909,656.4564635563182,33.22710377421894,-139.89565843248528,44.453718814765686,35.99310044321143,36.71310428397922,-7.641998286772487,-68.55623239848352,9.105190749672747,-11.129936374488777,69.12593814110971,1.281730249890916
2021-09-17 19:20:56,46.94607791913597,-71.65574797546904,3749.1600590247945,-85.85731976381551,-27.22790467209119,0.3174749927580122,-19.20277142189993,2.9894365401519414,200.52901814457297,-0.2718751872832107,0.6601788023035453,-1.9066834613595696,5.417718938596522,659.6531076337061,-0.6925905868680127,648.387071309325,656.8594691871282,656.4540346417083,33.28561204702067,-139.8893301835475,44.48380406935729,36.31002589454947,36.81412097920028,-7.502356719114938,-68.5494848506591,8.79,-11.003988238428423,69.12163938094443,1.1914036336908835
2021-09-17 19:20:57,46.94530039000203,-71.65608463088209,3748.841134860817,-87.09205925118171,-24.035788373331616,0.2848527185977246,-19.47458197935072,3.0924467173258794,198.47181579700623,-0.3878419837655038,0.7298359931525913,-1.9239711329592712,5.3868282882135645,659.6286371790286,-0.7273159857170108,648.2412952966579,657.208103862048,656.6555742749199,33.356303259900336,-139.90153321856073,44.88686817427095,36.30998437922759,36.70800258870784,-7.740280117136697,-68.55742122447423,8.998987017244003,-10.851667828480384,69.12418333063093,1.111012982755997
2021-09-17 19:20:58,46.94451221397748,-71.65637823131335,3748.63434335458,-88.2356268392512,-20.685302832613104,0.1392176669277152,-20.004076433858547,3.1638378816525665,196.4176280102786,-0.5018084677297681,0.6254691342644574,-1.9211174839646843,5.394860818934944,659.6565022444746,-0.6715762036239659,648.1461484040609,657.3998718606441,656.5450561037151,33.36186513840212,-139.88773634933125,44.91739904252324,36.28639748891169,36.77250017091815,-7.786936134228482,-68.54996012326252,9.190897441876734,-10.891466246471412,69.12104331461745,1.1608974418767344
2021-09-17 19:20:59,46.94371413526923,-71.65662717828415,3748.528119065547,-89.27497014648493,-17.245105301719487,0.138341007462962,-20.61081725896386,3.075524953261932,194.37982831106325,-0.5575430030583192,0.5980011972336347,-1.9929908489172945,5.429939102003175,659.6970330343562,-0.7021899511974534,648.0819334340867,657.1611776075101,656.5090808043959,33.32947462260687,-139.90349942654808,44.68151878839669,36.39236379881963,36.86463501228726,-7.509669171479813,-68.55240893273564,8.88,-10.864909808593453,69.12135513865375,1.17
